,num,State,County,FIPSState,FIPSCounty,seq_num,State.Abbrev
0,1,Alabama,Autauga,01,001,1,AL
1,2,Alabama,Baldwin,01,003,1,AL
2,3,Alabama,Barbour,01,005,1,AL
3,4,Alabama,Bibb,01,007,1,AL
4,5,Alabama,Blount,01,009,1,AL
5,6,Alabama,Bullock,01,011,1,AL
6,7,Alabama,Butler,01,013,1,AL
7,8,Alabama,Calhoun,01,015,1,AL
8,9,Alabama,Chambers,01,017,1,AL
9,10,Alabama,Cherokee,01,019,1,AL
10,11,Alabama,Chilton,01,021,1,AL
11,12,Alabama,Choctaw,01,023,1,AL
12,13,Alabama,Clarke,01,025,1,AL
13,14,Alabama,Clay,01,027,1,AL
14,15,Alabama,Cleburne,01,029,1,AL
15,16,Alabama,Coffee,01,031,1,AL
16,17,Alabama,Colbert,01,033,1,AL
17,18,Alabama,Conecuh,01,035,1,AL
18,19,Alabama,Coosa,01,037,1,AL
19,20,Alabama,Covington,01,039,1,AL
20,21,Alabama,Crenshaw,01,041,1,AL
21,22,Alabama,Cullman,01,043,1,AL
22,23,Alabama,Dale,01,045,1,AL
23,24,Alabama,Dallas,01,047,1,AL
24,25,Alabama,De Kalb,01,049,1,AL
25,26,Alabama,Elmore,01,051,1,AL
26,27,Alabama,Escambia,01,053,1,AL
27,28,Alabama,Etowah,01,055,1,AL
28,29,Alabama,Fayette,01,057,1,AL
29,30,Alabama,Franklin,01,059,1,AL
30,31,Alabama,Geneva,01,061,1,AL
31,32,Alabama,Greene,01,063,1,AL
32,33,Alabama,Hale,01,065,1,AL
33,34,Alabama,Henry,01,067,1,AL
34,35,Alabama,Houston,01,069,1,AL
35,36,Alabama,Jackson,01,071,1,AL
36,37,Alabama,Jefferson,01,073,1,AL
37,38,Alabama,Lamar,01,075,1,AL
38,39,Alabama,Lauderdale,01,077,1,AL
39,40,Alabama,Lawrence,01,079,1,AL
40,41,Alabama,Lee,01,081,1,AL
41,42,Alabama,Limestone,01,083,1,AL
42,43,Alabama,Lowndes,01,085,1,AL
43,44,Alabama,Macon,01,087,1,AL
44,45,Alabama,Madison,01,089,1,AL
45,46,Alabama,Marengo,01,091,1,AL
46,47,Alabama,Marion,01,093,1,AL
47,48,Alabama,Marshall,01,095,1,AL
48,49,Alabama,Mobile,01,097,1,AL
49,50,Alabama,Monroe,01,099,1,AL
50,51,Alabama,Montgomery,01,101,1,AL
51,52,Alabama,Morgan,01,103,1,AL
52,53,Alabama,Perry,01,105,1,AL
53,54,Alabama,Pickens,01,107,1,AL
54,55,Alabama,Pike,01,109,1,AL
55,56,Alabama,Randolph,01,111,1,AL
56,57,Alabama,Russell,01,113,1,AL
57,58,Alabama,St Clair,01,115,1,AL
58,59,Alabama,Shelby,01,117,1,AL
59,60,Alabama,Sumter,01,119,1,AL
60,61,Alabama,Talladega,01,121,1,AL
61,62,Alabama,Tallapoosa,01,123,1,AL
62,63,Alabama,Tuscaloosa,01,125,1,AL
63,64,Alabama,Walker,01,127,1,AL
64,65,Alabama,Washington,01,129,1,AL
65,66,Alabama,Wilcox,01,131,1,AL
66,67,Alabama,Winston,01,133,1,AL
67,68,Alaska,Aleutians East,02,013,2,AK
68,69,Alaska,Aleutians West,02,016,2,AK
69,70,Alaska,Anchorage,02,020,2,AK
70,71,Alaska,Bethel,02,050,2,AK
71,72,Alaska,Bristol Bay,02,060,2,AK
72,73,Alaska,Denali,02,068,2,AK
73,74,Alaska,Dillingham,02,070,2,AK
74,75,Alaska,Fairbanks North Star,02,090,2,AK
75,76,Alaska,Haines,02,100,2,AK
76,77,Alaska,Juneau,02,110,2,AK
77,78,Alaska,Kenai Peninsula,02,122,2,AK
78,79,Alaska,Ketchikan Gateway,02,130,2,AK
79,80,Alaska,Kodiak Island,02,150,2,AK
80,81,Alaska,Lake and Peninsula,02,164,2,AK
81,82,Alaska,Matanuska Susitna,02,170,2,AK
82,83,Alaska,Nome,02,180,2,AK
83,84,Alaska,North Slope,02,185,2,AK
84,85,Alaska,Northwest Arctic,02,188,2,AK
85,86,Alaska,Prince Wales Ketchikan,02,201,2,AK
86,87,Alaska,Sitka,02,220,2,AK
87,88,Alaska,Skagway Hoonah Angoon,02,232,2,AK
88,89,Alaska,Southeast Fairbanks,02,240,2,AK
89,90,Alaska,Valdez Cordova,02,261,2,AK
90,91,Alaska,Wade Hampton,02,270,2,AK
91,92,Alaska,Wrangell Petersburg,02,280,2,AK
92,93,Alaska,Yakutat,02,282,2,AK
93,94,Alaska,Yukon Koyukuk,02,290,2,AK
94,95,Arizona,Apache,04,001,4,AZ
95,96,Arizona,Cochise,04,003,4,AZ
96,97,Arizona,Coconino,04,005,4,AZ
97,98,Arizona,Gila,04,007,4,AZ
98,99,Arizona,Graham,04,009,4,AZ
99,100,Arizona,Greenlee,04,011,4,AZ
100,101,Arizona,La Paz,04,012,4,AZ
101,102,Arizona,Maricopa,04,013,4,AZ
102,103,Arizona,Mohave,04,015,4,AZ
103,104,Arizona,Navajo,04,017,4,AZ
104,105,Arizona,Pima,04,019,4,AZ
105,106,Arizona,Pinal,04,021,4,AZ
106,107,Arizona,Santa Cruz,04,023,4,AZ
107,108,Arizona,Yavapai,04,025,4,AZ
108,109,Arizona,Yuma,04,027,4,AZ
109,110,Arkansas,Arkansas,05,001,5,AR
110,111,Arkansas,Ashley,05,003,5,AR
111,112,Arkansas,Baxter,05,005,5,AR
112,113,Arkansas,Benton,05,007,5,AR
113,114,Arkansas,Boone,05,009,5,AR
114,115,Arkansas,Bradley,05,011,5,AR
115,116,Arkansas,Calhoun,05,013,5,AR
116,117,Arkansas,Carroll,05,015,5,AR
117,118,Arkansas,Chicot,05,017,5,AR
118,119,Arkansas,Clark,05,019,5,AR
119,120,Arkansas,Clay,05,021,5,AR
120,121,Arkansas,Cleburne,05,023,5,AR
121,122,Arkansas,Cleveland,05,025,5,AR
122,123,Arkansas,Columbia,05,027,5,AR
123,124,Arkansas,Conway,05,029,5,AR
124,125,Arkansas,Craighead,05,031,5,AR
125,126,Arkansas,Crawford,05,033,5,AR
126,127,Arkansas,Crittenden,05,035,5,AR
127,128,Arkansas,Cross,05,037,5,AR
128,129,Arkansas,Dallas,05,039,5,AR
129,130,Arkansas,Desha,05,041,5,AR
130,131,Arkansas,Drew,05,043,5,AR
131,132,Arkansas,Faulkner,05,045,5,AR
132,133,Arkansas,Franklin,05,047,5,AR
133,134,Arkansas,Fulton,05,049,5,AR
134,135,Arkansas,Garland,05,051,5,AR
135,136,Arkansas,Grant,05,053,5,AR
136,137,Arkansas,Greene,05,055,5,AR
137,138,Arkansas,Hempstead,05,057,5,AR
138,139,Arkansas,Hot Spring,05,059,5,AR
139,140,Arkansas,Howard,05,061,5,AR
140,141,Arkansas,Independence,05,063,5,AR
141,142,Arkansas,Izard,05,065,5,AR
142,143,Arkansas,Jackson,05,067,5,AR
143,144,Arkansas,Jefferson,05,069,5,AR
144,145,Arkansas,Johnson,05,071,5,AR
145,146,Arkansas,Lafayette,05,073,5,AR
146,147,Arkansas,Lawrence,05,075,5,AR
147,148,Arkansas,Lee,05,077,5,AR
148,149,Arkansas,Lincoln,05,079,5,AR
149,150,Arkansas,Little River,05,081,5,AR
150,151,Arkansas,Logan,05,083,5,AR
151,152,Arkansas,Lonoke,05,085,5,AR
152,153,Arkansas,Madison,05,087,5,AR
153,154,Arkansas,Marion,05,089,5,AR
154,155,Arkansas,Miller,05,091,5,AR
155,156,Arkansas,Mississippi,05,093,5,AR
156,157,Arkansas,Monroe,05,095,5,AR
157,158,Arkansas,Nevada,05,099,5,AR
158,159,Arkansas,Newton,05,101,5,AR
159,160,Arkansas,Ouachita,05,103,5,AR
160,161,Arkansas,Perry,05,105,5,AR
161,162,Arkansas,Phillips,05,107,5,AR
162,163,Arkansas,Pike,05,109,5,AR
163,164,Arkansas,Poinsett,05,111,5,AR
164,165,Arkansas,Polk,05,113,5,AR
165,166,Arkansas,Pope,05,115,5,AR
166,167,Arkansas,Prairie,05,117,5,AR
167,168,Arkansas,Pulaski,05,119,5,AR
168,169,Arkansas,Randolph,05,121,5,AR
169,170,Arkansas,St Francis,05,123,5,AR
170,171,Arkansas,Saline,05,125,5,AR
171,172,Arkansas,Scott,05,127,5,AR
172,173,Arkansas,Searcy,05,129,5,AR
173,174,Arkansas,Sebastian,05,131,5,AR
174,175,Arkansas,Sevier,05,133,5,AR
